ma_tour,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
ND01,"Tour Phú Quốc Nghỉ Dưỡng 3N2Đ",post,"Phú Quốc Nghỉ Dưỡng 3N2Đ","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","tour phú quốc, du lịch phú quốc, tour nội địa, nghỉ dưỡng biển, đảo ngọc, tour biển việt nam","[tours#domestic,special-offer,hot]","✈️","Phú Quốc","3N2Đ",5,"3.990.000"
ND02,"Tour Đà Nẵng - Hội An",post,"Đà Nẵng - Hội An","/img/tours/domestic/Pho-co-Hoi-An-800x533.jpg","/img/tours/domestic/Pho-co-Hoi-An-800x533.jpg","tour đà nẵng, tour hội an, du lịch miền trung, tour nội địa, khám phá việt nam","[tours#domestic,hot]","✈️ + 🚌","Đà Nẵng - Hội An","3N2Đ",8,"5.990.000"
ND03,"Tour Sapa - Fansipan",post,"Sapa - Fansipan","/img/tours/domestic/VINH-HY-800x533.jpg","/img/tours/domestic/VINH-HY-800x533.jpg","tour sapa, tour fansipan, du lịch tây bắc, leo núi, tour nội địa","[tours#domestic,special-offer,hot]","🚆 + 🚌","Sapa - Fansipan","4N3Đ",10,"6.900.000"
ND04,"Tour Hà Giang - Cao Bằng",post,"Hà Giang - Cao Bằng","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","tour hà giang, tour cao bằng, du lịch đông bắc, tour nội địa, phượt việt nam","[tours#domestic,special-offer,hot]","🚌","Hà Giang - Cao Bằng","5N4Đ",12,"7.900.000"
ND05,"Tour Nha Trang - Đà Lạt",post,"Nha Trang - Đà Lạt","/img/tours/domestic/Pho-co-Hoi-An-800x533.jpg","/img/tours/domestic/Pho-co-Hoi-An-800x533.jpg","tour nha trang, tour đà lạt, du lịch biển, cao nguyên, tour nội địa","[tours#domestic,special-offer,hot]","✈️ + 🚌","Nha Trang - Đà Lạt","4N3Đ",10,"5.500.000"
ND06,"Tour Miền Tây Sông Nước",post,"Miền Tây Sông Nước","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","tour miền tây, du lịch miền tây, tour cần thơ, tour sóc trăng, tour bạc liêu, tour nội địa","[tours#domestic]","🚌","Cần Thơ - Sóc Trăng - Bạc Liêu","3N2Đ",8,"4.500.000"
ND07,"Tour Côn Đảo Thiêng Liêng",post,"Côn Đảo Thiêng Liêng","/img/tours/domestic/VINH-HY-800x533.jpg","/img/tours/domestic/VINH-HY-800x533.jpg","tour côn đảo, du lịch tâm linh, biển đảo, tour nội địa, khám phá việt nam","[tours#domestic,special-offer,hot]","✈️","Côn Đảo","3N2Đ",10,"7.500.000"
ND08,"Tour Quy Nhơn - Phú Yên",post,"Quy Nhơn - Phú Yên","/img/tours/domestic/Pho-co-Hoi-An-800x533.jpg","/img/tours/domestic/Pho-co-Hoi-An-800x533.jpg","tour quy nhơn, tour phú yên, du lịch miền trung, biển xanh, tour nội địa","[tours#domestic,hot]","✈️ + 🚌","Quy Nhơn - Phú Yên","4N3Đ",9,"5.900.000"
ND09,"Tour Huế - Động Phong Nha",post,"Huế - Động Phong Nha","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","/img/tours/domestic/tour-cam-trai-ben-ho-tuyen-lam.jpg","tour huế, tour động phong nha, du lịch miền trung, hang động, tour nội địa","[tours#domestic]","🚌","Huế - Quảng Bình","3N2Đ",7,"4.800.000"
ND10,"Tour Cần Giờ - Đảo Khỉ",post,"Cần Giờ - Đảo Khỉ","/img/tours/domestic/VINH-HY-800x533.jpg","/img/tours/domestic/VINH-HY-800x533.jpg","tour cần giờ, tour đảo khỉ, du lịch sinh thái, tour nội địa, gần sài gòn","[tours#domestic]","🚌","Cần Giờ - Đảo Khỉ","2N1Đ",6,"2.900.000"
ND11,"Tour Đồng Tháp Mùa Sen Nở",post,"Đồng Tháp Mùa Sen Nở","/img/tours/domestic/dong-thap-sen.jpg","/img/tours/domestic/dong-thap-sen.jpg","tour đồng tháp, du lịch miền tây, mùa sen, tour nội địa","[tours#domestic]","🚌","Đồng Tháp","2N1Đ",7,"2.800.000"
ND12,"Tour Bến Tre - Cồn Phụng",post,"Bến Tre - Cồn Phụng","/img/tours/domestic/ben-tre-con-phung.jpg","/img/tours/domestic/ben-tre-con-phung.jpg","tour bến tre, cồn phụng, du lịch miền tây, tour nội địa","[tours#domestic]","🚌","Bến Tre - Cồn Phụng","2N1Đ",6,"2.700.000"
