ma_service,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
NEWS_TIPS01,"5 mẹo săn vé máy bay giá rẻ",post,"5 mẹo săn vé máy bay giá rẻ","/img/post-news/SAN-VE-MAY-BAY-GIA-RE.webp","/img/post-news/SAN-VE-MAY-BAY-GIA-RE.webp","mẹo săn vé, vé máy bay giá rẻ, kinh nghiệm du lịch","[post-news#tips]","","Toàn quốc","","",""
NEWS_TIPS02,"Kinh nghiệm đặt phòng khách sạn online an toàn",post,"Kinh nghiệm đặt phòng khách sạn online an toàn","/img/post-news/dat-phong-khach-san-online.webp","/img/post-news/dat-phong-khach-san-online.webp","đặt phòng khách sạn, kinh nghiệm du lịch, mẹo du lịch","[post-news#tips]","","Toàn thế giới","","",""
NEWS_TIPS03,"Những lưu ý khi chuẩn bị hành lý đi du lịch",post,"Những lưu ý khi chuẩn bị hành lý đi du lịch","/img/post-news/luu-y-hanh-ly-du-lich.jpg","/img/post-news/luu-y-hanh-ly-du-lich.jpg","hành lý du lịch, chuẩn bị hành lý, mẹo du lịch","[post-news#tips]","","Toàn thế giới","","",""
NEWS_TIPS04,"Cách săn voucher du lịch và ưu đãi hot",post,"Cách săn voucher du lịch và ưu đãi hot","/img/post-news/san-voucher-du-lich.jpg","/img/post-news/san-voucher-du-lich.jpg","voucher du lịch, ưu đãi du lịch, kinh nghiệm tiết kiệm","[post-news#tips]","","Toàn quốc","","",""
NEWS_TIPS05,"Bí quyết du lịch an toàn mùa cao điểm",post,"Bí quyết du lịch an toàn mùa cao điểm","/img/post-news/du-lich-an-toan-mua-cao-diem.jpg","/img/post-news/du-lich-an-toan-mua-cao-diem.jpg","du lịch an toàn, mùa cao điểm, mẹo du lịch","[post-news#tips]","","Toàn thế giới","","",""
NEWS_DEST01,"Top 5 điểm đến hot mùa hè 2025",post,"Top 5 điểm đến hot mùa hè 2025","/img/post-news/diem-den-hot-mua-he.jpg","/img/post-news/diem-den-hot-mua-he.jpg","điểm đến hot, du lịch hè, xu hướng du lịch","[post-news#destination]","","Toàn thế giới","","",""
NEWS_DEST02,"Khám phá Phú Quốc: Thiên đường biển đảo Việt Nam",post,"Khám phá Phú Quốc: Thiên đường biển đảo Việt Nam","/img/post-news/kham-pha-phu-quoc.jpg","/img/post-news/kham-pha-phu-quoc.jpg","phú quốc, du lịch biển đảo, điểm đến nổi bật","[post-news#destination]","","Phú Quốc","","",""
NEWS_DEST03,"Sapa mùa lúa chín vàng: Trải nghiệm không thể bỏ lỡ",post,"Sapa mùa lúa chín vàng: Trải nghiệm không thể bỏ lỡ","/img/post-news/sapa-mua-lua-chin.jpg","/img/post-news/sapa-mua-lua-chin.jpg","sapa, mùa lúa chín, du lịch tây bắc","[post-news#destination]","","Sapa","","",""
NEWS_DEST04,"Khám phá Đà Nẵng – Thành phố đáng sống",post,"Khám phá Đà Nẵng – Thành phố đáng sống","/img/post-news/kham-pha-da-nang.jpg","/img/post-news/kham-pha-da-nang.jpg","đà nẵng, điểm đến nổi bật, du lịch miền trung","[post-news#destination]","","Đà Nẵng","","",""
NEWS_DEST05,"Vẻ đẹp mùa thu Hà Nội",post,"Vẻ đẹp mùa thu Hà Nội","/img/post-news/mua-thu-ha-noi.jpg","/img/post-news/mua-thu-ha-noi.jpg","hà nội, mùa thu, điểm đến lãng mạn","[post-news#destination]","","Hà Nội","","",""
NEWS_GUIDE01,"Hướng dẫn xin visa du lịch tự túc",post,"Hướng dẫn xin visa du lịch tự túc","/img/post-news/huong-dan-xin-visa.jpg","/img/post-news/huong-dan-xin-visa.jpg","xin visa, hướng dẫn visa, du lịch tự túc","[post-news#guide]","","Toàn thế giới","","",""
NEWS_GUIDE02,"Cách đặt tour trọn gói an toàn & tiết kiệm",post,"Cách đặt tour trọn gói an toàn & tiết kiệm","/img/post-news/dat-tour-tron-goi.jpg","/img/post-news/dat-tour-tron-goi.jpg","đặt tour, tour trọn gói, hướng dẫn du lịch","[post-news#guide]","","Toàn quốc","","",""
NEWS_GUIDE03,"Các bước thuê xe du lịch cho gia đình",post,"Các bước thuê xe du lịch cho gia đình","/img/post-news/thue-xe-du-lich-gia-dinh.jpg","/img/post-news/thue-xe-du-lich-gia-dinh.jpg","thuê xe du lịch, hướng dẫn thuê xe, du lịch gia đình","[post-news#guide]","","Toàn quốc","","",""
NEWS_GUIDE04,"Hướng dẫn đặt vé máy bay quốc tế online",post,"Hướng dẫn đặt vé máy bay quốc tế online","/img/post-news/huong-dan-dat-ve-quoc-te.jpg","/img/post-news/huong-dan-dat-ve-quoc-te.jpg","đặt vé máy bay, hướng dẫn quốc tế, kinh nghiệm bay","[post-news#guide]","","Toàn thế giới","","",""
NEWS_GUIDE05,"Checklist chuẩn bị trước chuyến đi nước ngoài",post,"Checklist chuẩn bị trước chuyến đi nước ngoài","/img/post-news/checklist-du-lich-nuoc-ngoai.jpg","/img/post-news/checklist-du-lich-nuoc-ngoai.jpg","checklist du lịch, chuẩn bị du lịch, kinh nghiệm nước ngoài","[post-news#guide]","","Toàn thế giới","","",""
